level,value,uf,mes,ano,var
População carcerária,4244,ac,dez,2014,pop
População carcerária por 100.000 habitantes,535.1308889300786,ac,dez,2014,pop
População carcerária,3488,ac,jun,2014,pop
População carcerária por 100.000 habitantes,441.46254719333353,ac,jun,2014,pop
População carcerária,4649,ac,dez,2015,pop
População carcerária por 100.000 habitantes,578.5842917289452,ac,dez,2015,pop
População carcerária,6100,ac,dez,2016,pop
População carcerária por 100.000 habitantes,759.2,ac,dez,2016,pop
População carcerária,5364,ac,jun,2016,pop
População carcerária por 100.000 habitantes,656.7999735516789,ac,jun,2016,pop
População carcerária,6551,ac,dez,2017,pop
População carcerária por 100.000 habitantes,789.6395815428529,ac,dez,2017,pop
População carcerária,6263,ac,jun,2017,pop
População carcerária por 100.000 habitantes,754.93,ac,jun,2017,pop
População carcerária,7914,ac,dez,2018,pop
População carcerária por 100.000 habitantes,910.4243239978603,ac,dez,2018,pop
População carcerária,7975,ac,jun,2018,pop
População carcerária por 100.000 habitantes,917.44174676307,ac,jun,2018,pop
População carcerária,8414,ac,dez,2019,pop
População carcerária por 100.000 habitantes,954.0385629326424,ac,dez,2019,pop
População carcerária,7345,ac,jun,2019,pop
População carcerária por 100.000 habitantes,832.827816108897,ac,jun,2019,pop
População carcerária,8074,ac,dez,2020,pop
População carcerária por 100.000 habitantes,902.6574396011046,ac,dez,2020,pop
População carcerária,7931,ac,jun,2020,pop
População carcerária por 100.000 habitantes,886.6703187362349,ac,jun,2020,pop
População carcerária,5920,al,dez,2014,pop
População carcerária por 100.000 habitantes,177.99158147925436,al,dez,2014,pop
População carcerária,5785,al,jun,2014,pop
População carcerária por 100.000 habitantes,174.1562378640046,al,jun,2014,pop
População carcerária,6703,al,dez,2015,pop
População carcerária por 100.000 habitantes,200.65846390752048,al,dez,2015,pop
População carcerária,7450,al,dez,2016,pop
População carcerária por 100.000 habitantes,223,al,dez,2016,pop
População carcerária,6957,al,jun,2016,pop
População carcerária por 100.000 habitantes,207.1443820460577,al,jun,2016,pop
População carcerária,8098,al,dez,2017,pop
População carcerária por 100.000 habitantes,239.88224501106842,al,dez,2017,pop
População carcerária,7421,al,jun,2017,pop
População carcerária por 100.000 habitantes,229.87,al,jun,2017,pop
População carcerária,8788,al,dez,2018,pop
População carcerária por 100.000 habitantes,264.4741514737482,al,dez,2018,pop
População carcerária,8488,al,jun,2018,pop
População carcerária por 100.000 habitantes,255.4456756610349,al,jun,2018,pop
População carcerária,9382,al,dez,2019,pop
População carcerária por 100.000 habitantes,281.1206592522166,al,dez,2019,pop
População carcerária,9378,al,jun,2019,pop
População carcerária por 100.000 habitantes,281.0008039295766,al,jun,2019,pop
População carcerária,10505,al,dez,2020,pop
População carcerária por 100.000 habitantes,313.4377210735473,al,dez,2020,pop
População carcerária,10055,al,jun,2020,pop
População carcerária por 100.000 habitantes,300.011069528274,al,jun,2020,pop
População carcerária,8868,am,dez,2014,pop
População carcerária por 100.000 habitantes,228.05310335321383,am,dez,2014,pop
População carcerária,7455,am,jun,2014,pop
População carcerária por 100.000 habitantes,192.44952491685692,am,jun,2014,pop
População carcerária,10607,am,dez,2015,pop
População carcerária por 100.000 habitantes,269.3269441713455,am,dez,2015,pop
População carcerária,10241,am,dez,2016,pop
População carcerária por 100.000 habitantes,223,am,dez,2016,pop
População carcerária,11390,am,jun,2016,pop
População carcerária por 100.000 habitantes,284.6313798724382,am,jun,2016,pop
População carcerária,8888,am,dez,2017,pop
População carcerária por 100.000 habitantes,218.72156164438846,am,dez,2017,pop
População carcerária,8931,am,jun,2017,pop
População carcerária por 100.000 habitantes,219.78,am,jun,2017,pop
População carcerária,10535,am,dez,2018,pop
População carcerária por 100.000 habitantes,258.1721217729404,am,dez,2018,pop
População carcerária,9304,am,jun,2018,pop
População carcerária por 100.000 habitantes,228.0050708092489,am,jun,2018,pop
População carcerária,12069,am,dez,2019,pop
População carcerária por 100.000 habitantes,291.19839637002104,am,dez,2019,pop
População carcerária,11936,am,jun,2019,pop
População carcerária por 100.000 habitantes,287.9893992105867,am,jun,2019,pop
População carcerária,14335,am,dez,2020,pop
População carcerária por 100.000 habitantes,340.6838012279352,am,dez,2020,pop
População carcerária,13242,am,jun,2020,pop
População carcerária por 100.000 habitantes,314.7077011412848,am,jun,2020,pop
População carcerária,2663,ap,dez,2014,pop
População carcerária por 100.000 habitantes,352.6092155073905,ap,dez,2014,pop
População carcerária,2654,ap,jun,2014,pop
População carcerária por 100.000 habitantes,353.4368874115742,ap,jun,2014,pop
População carcerária,2586,ap,dez,2015,pop
População carcerária por 100.000 habitantes,337.29892171299855,ap,dez,2015,pop
População carcerária,2937,ap,dez,2016,pop
População carcerária por 100.000 habitantes,383.1,ap,dez,2016,pop
População carcerária,2680,ap,jun,2016,pop
População carcerária por 100.000 habitantes,342.58176263430033,ap,jun,2016,pop
População carcerária,2848,ap,dez,2017,pop
População carcerária por 100.000 habitantes,357.0166047821171,ap,dez,2017,pop
População carcerária,2806,ap,jun,2017,pop
População carcerária por 100.000 habitantes,351.75,ap,jun,2017,pop
População carcerária,2963,ap,dez,2018,pop
População carcerária por 100.000 habitantes,357.2057181848211,ap,dez,2018,pop
População carcerária,2943,ap,jun,2018,pop
População carcerária por 100.000 habitantes,354.7946097259293,ap,jun,2018,pop
População carcerária,2750,ap,dez,2019,pop
População carcerária por 100.000 habitantes,325.16249256560303,ap,dez,2019,pop
População carcerária,3096,ap,jun,2019,pop
População carcerária por 100.000 habitantes,366.07384617567527,ap,jun,2019,pop
População carcerária,2973,ap,dez,2020,pop
População carcerária por 100.000 habitantes,344.98644074483656,ap,dez,2020,pop
População carcerária,2752,ap,jun,2020,pop
População carcerária por 100.000 habitantes,319.34163637059874,ap,jun,2020,pop
População carcerária,15611,ba,dez,2014,pop
População carcerária por 100.000 habitantes,103.08507050705823,ba,dez,2014,pop
População carcerária,15399,ba,jun,2014,pop
População carcerária por 100.000 habitantes,101.80234241246627,ba,jun,2014,pop
População carcerária,15217,ba,dez,2015,pop
População carcerária por 100.000 habitantes,100.08593828413093,ba,dez,2015,pop
População carcerária,16394,ba,dez,2016,pop
População carcerária por 100.000 habitantes,229.87,ba,dez,2016,pop
População carcerária,15294,ba,jun,2016,pop
População carcerária por 100.000 habitantes,100.11412250632766,ba,jun,2016,pop
População carcerária,17373,ba,dez,2017,pop
População carcerária por 100.000 habitantes,113.22011148397854,ba,dez,2017,pop
População carcerária,16829,ba,jun,2017,pop
População carcerária por 100.000 habitantes,109.67,ba,jun,2017,pop
População carcerária,16716,ba,dez,2018,pop
População carcerária por 100.000 habitantes,112.849741541282,ba,dez,2018,pop
População carcerária,17223,ba,jun,2018,pop
População carcerária por 100.000 habitantes,116.27249931595478,ba,jun,2018,pop
População carcerária,16727,ba,dez,2019,pop
População carcerária por 100.000 habitantes,112.46505763708137,ba,dez,2019,pop
População carcerária,17524,ba,jun,2019,pop
População carcerária por 100.000 habitantes,117.82373826939762,ba,jun,2019,pop
População carcerária,14503,ba,dez,2020,pop
População carcerária por 100.000 habitantes,97.13586174572359,ba,dez,2020,pop
População carcerária,15752,ba,jun,2020,pop
População carcerária por 100.000 habitantes,105.50121314339364,ba,jun,2020,pop
População carcerária,21648,ce,dez,2014,pop
População carcerária por 100.000 habitantes,244.26747740119623,ce,dez,2014,pop
População carcerária,21789,ce,jun,2014,pop
População carcerária por 100.000 habitantes,246.40410476737492,ce,jun,2014,pop
População carcerária,34492,ce,dez,2015,pop
População carcerária por 100.000 habitantes,387.3231726317976,ce,dez,2015,pop
População carcerária,25547,ce,dez,2016,pop
População carcerária por 100.000 habitantes,286.9,ce,dez,2016,pop
População carcerária,34566,ce,jun,2016,pop
População carcerária por 100.000 habitantes,385.5905204033005,ce,jun,2016,pop
População carcerária,27746,ce,dez,2017,pop
População carcerária por 100.000 habitantes,307.5896351183864,ce,dez,2017,pop
População carcerária,26863,ce,jun,2017,pop
População carcerária por 100.000 habitantes,297.8,ce,jun,2017,pop
População carcerária,29888,ce,dez,2018,pop
População carcerária por 100.000 habitantes,329.3208011900857,ce,dez,2018,pop
População carcerária,28572,ce,jun,2018,pop
População carcerária por 100.000 habitantes,314.82046077365925,ce,jun,2018,pop
População carcerária,31776,ce,dez,2019,pop
População carcerária por 100.000 habitantes,347.9602342424145,ce,dez,2019,pop
População carcerária,33953,ce,jun,2019,pop
População carcerária por 100.000 habitantes,371.7992772291257,ce,jun,2019,pop
População carcerária,35675,ce,dez,2020,pop
População carcerária por 100.000 habitantes,388.3160992099468,ce,dez,2020,pop
População carcerária,34095,ce,jun,2020,pop
População carcerária por 100.000 habitantes,371.11807715664014,ce,jun,2020,pop
População carcerária,14405,df,dez,2014,pop
População carcerária por 100.000 habitantes,505.0182795231477,df,dez,2014,pop
População carcerária,14171,df,jun,2014,pop
População carcerária por 100.000 habitantes,496.81458098733265,df,jun,2014,pop
População carcerária,14425,df,dez,2015,pop
População carcerária por 100.000 habitantes,494.8830635062765,df,dez,2015,pop
População carcerária,15088,df,dez,2016,pop
População carcerária por 100.000 habitantes,517.6,df,dez,2016,pop
População carcerária,15194,df,jun,2016,pop
População carcerária por 100.000 habitantes,510.3425482061093,df,jun,2016,pop
População carcerária,16011,df,dez,2017,pop
População carcerária por 100.000 habitantes,526.7739757666204,df,dez,2017,pop
População carcerária,15894,df,jun,2017,pop
População carcerária por 100.000 habitantes,522.93,df,jun,2017,pop
População carcerária,16481,df,dez,2018,pop
População carcerária por 100.000 habitantes,554.0385040119971,df,dez,2018,pop
População carcerária,16379,df,jun,2018,pop
População carcerária por 100.000 habitantes,550.6095902683394,df,jun,2018,pop
População carcerária,16773,df,dez,2019,pop
População carcerária por 100.000 habitantes,556.2689618302585,df,dez,2019,pop
População carcerária,17040,df,jun,2019,pop
População carcerária por 100.000 habitantes,565.1238961180234,df,jun,2019,pop
População carcerária,27595,df,dez,2020,pop
População carcerária por 100.000 habitantes,903.229269669008,df,dez,2020,pop
População carcerária,16203,df,jun,2020,pop
População carcerária por 100.000 habitantes,530.3505655534312,df,jun,2020,pop
População carcerária,16694,es,dez,2014,pop
População carcerária por 100.000 habitantes,428.6815538537943,es,dez,2014,pop
População carcerária,16234,es,jun,2014,pop
População carcerária por 100.000 habitantes,417.85830757861737,es,jun,2014,pop
População carcerária,18714,es,dez,2015,pop
População carcerária por 100.000 habitantes,476.1939901437971,es,dez,2015,pop
População carcerária,19819,es,dez,2016,pop
População carcerária por 100.000 habitantes,504.3,es,dez,2016,pop
População carcerária,19413,es,jun,2016,pop
População carcerária por 100.000 habitantes,488.5375004687071,es,jun,2016,pop
População carcerária,20337,es,dez,2017,pop
População carcerária por 100.000 habitantes,506.3545163825119,es,dez,2017,pop
População carcerária,20060,es,jun,2017,pop
População carcerária por 100.000 habitantes,499.46,es,jun,2017,pop
População carcerária,23044,es,dez,2018,pop
População carcerária por 100.000 habitantes,580.1044610949384,es,dez,2018,pop
População carcerária,22375,es,jun,2018,pop
População carcerária por 100.000 habitantes,563.2632059103995,es,jun,2018,pop
População carcerária,23470,es,dez,2019,pop
População carcerária por 100.000 habitantes,584.0269742326403,es,dez,2019,pop
População carcerária,25278,es,jun,2019,pop
População carcerária por 100.000 habitantes,629.0172072710985,es,jun,2019,pop
População carcerária,24248,es,dez,2020,pop
População carcerária por 100.000 habitantes,596.6459090582503,es,dez,2020,pop
População carcerária,23569,es,jun,2020,pop
População carcerária por 100.000 habitantes,579.9384456694944,es,jun,2020,pop
População carcerária,15574,go,dez,2014,pop
População carcerária por 100.000 habitantes,237.9794332837785,go,dez,2014,pop
População carcerária,13244,go,jun,2014,pop
População carcerária por 100.000 habitantes,203.02850339908716,go,jun,2014,pop
População carcerária,14428,go,dez,2015,pop
População carcerária por 100.000 habitantes,218.25285473614593,go,dez,2015,pop
População carcerária,19194,go,dez,2016,pop
População carcerária por 100.000 habitantes,290.3,go,dez,2016,pop
População carcerária,16917,go,jun,2016,pop
População carcerária por 100.000 habitantes,252.64884021532725,go,jun,2016,pop
População carcerária,21401,go,dez,2017,pop
População carcerária por 100.000 habitantes,315.706148547259,go,dez,2017,pop
População carcerária,21251,go,jun,2017,pop
População carcerária por 100.000 habitantes,313.49,go,jun,2017,pop
População carcerária,23158,go,dez,2018,pop
População carcerária por 100.000 habitantes,334.59704231703324,go,dez,2018,pop
População carcerária,22835,go,jun,2018,pop
População carcerária por 100.000 habitantes,329.93019523747535,go,jun,2018,pop
População carcerária,25950,go,dez,2019,pop
População carcerária por 100.000 habitantes,369.7448148098543,go,dez,2019,pop
População carcerária,24559,go,jun,2019,pop
População carcerária por 100.000 habitantes,349.9253528676382,go,jun,2019,pop
População carcerária,31623,go,dez,2020,pop
População carcerária por 100.000 habitantes,444.5465970529441,go,dez,2020,pop
População carcerária,23005,go,jun,2020,pop
População carcerária por 100.000 habitantes,323.3973520919261,go,jun,2020,pop
População carcerária,6703,ma,dez,2014,pop
População carcerária por 100.000 habitantes,97.74639367866796,ma,dez,2014,pop
População carcerária,6098,ma,jun,2014,pop
População carcerária por 100.000 habitantes,89.0104109192332,ma,jun,2014,pop
População carcerária,7892,ma,dez,2015,pop
População carcerária por 100.000 habitantes,114.30655447861683,ma,dez,2015,pop
População carcerária,8189,ma,dez,2016,pop
População carcerária por 100.000 habitantes,118.6,ma,dez,2016,pop
População carcerária,8835,ma,jun,2016,pop
População carcerária por 100.000 habitantes,127.04852261334281,ma,jun,2016,pop
População carcerária,9627,ma,dez,2017,pop
População carcerária por 100.000 habitantes,137.52407242677347,ma,dez,2017,pop
População carcerária,8766,ma,jun,2017,pop
População carcerária por 100.000 habitantes,125.23,ma,jun,2017,pop
População carcerária,11398,ma,dez,2018,pop
População carcerária por 100.000 habitantes,162.0172123743169,ma,dez,2018,pop
População carcerária,10728,ma,jun,2018,pop
População carcerária por 100.000 habitantes,152.49347730756904,ma,jun,2018,pop
População carcerária,12387,ma,dez,2019,pop
População carcerária por 100.000 habitantes,175.07679308840298,ma,dez,2019,pop
População carcerária,11995,ma,jun,2019,pop
População carcerária por 100.000 habitantes,169.53629878868117,ma,jun,2019,pop
População carcerária,12883,ma,dez,2020,pop
População carcerária por 100.000 habitantes,181.07839683984955,ma,dez,2020,pop
População carcerária,12241,ma,jun,2020,pop
População carcerária por 100.000 habitantes,172.05469655488616,ma,jun,2020,pop
População carcerária,61392,mg,dez,2014,pop
População carcerária por 100.000 habitantes,295.6260519206255,mg,dez,2014,pop
População carcerária,61286,mg,jun,2014,pop
População carcerária por 100.000 habitantes,295.58075280539106,mg,jun,2014,pop
População carcerária,65687,mg,dez,2015,pop
População carcerária por 100.000 habitantes,314.75720971401694,mg,dez,2015,pop
População carcerária,67071,mg,dez,2016,pop
População carcerária por 100.000 habitantes,321.4,mg,dez,2016,pop
População carcerária,68354,mg,jun,2016,pop
População carcerária por 100.000 habitantes,325.5330619367203,mg,jun,2016,pop
População carcerária,74805,mg,dez,2017,pop
População carcerária por 100.000 habitantes,354.1981225345102,mg,dez,2017,pop
População carcerária,76713,mg,jun,2017,pop
População carcerária por 100.000 habitantes,363.23,mg,jun,2017,pop
População carcerária,78844,mg,dez,2018,pop
População carcerária por 100.000 habitantes,374.7220500951919,mg,dez,2018,pop
População carcerária,79338,mg,jun,2018,pop
População carcerária por 100.000 habitantes,377.06988496844826,mg,jun,2018,pop
População carcerária,74844,mg,dez,2019,pop
População carcerária por 100.000 habitantes,353.55821690525454,mg,dez,2019,pop
População carcerária,78003,mg,jun,2019,pop
População carcerária por 100.000 habitantes,368.481128657749,mg,jun,2019,pop
População carcerária,65892,mg,dez,2020,pop
População carcerária por 100.000 habitantes,309.4586652512184,mg,dez,2020,pop
População carcerária,62984,mg,jun,2020,pop
População carcerária por 100.000 habitantes,295.8013806256107,mg,jun,2020,pop
População carcerária,13915,ms,dez,2014,pop
População carcerária por 100.000 habitantes,529.5862300729623,ms,dez,2014,pop
População carcerária,14904,ms,jun,2014,pop
População carcerária por 100.000 habitantes,568.9294438164997,ms,jun,2014,pop
População carcerária,15787,ms,dez,2015,pop
População carcerária por 100.000 habitantes,595.4583429986402,ms,dez,2015,pop
População carcerária,18782,ms,dez,2016,pop
População carcerária por 100.000 habitantes,713.2,ms,dez,2016,pop
População carcerária,18688,ms,jun,2016,pop
População carcerária por 100.000 habitantes,696.6931679482371,ms,jun,2016,pop
População carcerária,18408,ms,dez,2017,pop
População carcerária por 100.000 habitantes,678.4741114285367,ms,dez,2017,pop
População carcerária,16634,ms,jun,2017,pop
População carcerária por 100.000 habitantes,229.87,ms,jun,2017,pop
População carcerária,15578,ms,dez,2018,pop
População carcerária por 100.000 habitantes,566.8802626470011,ms,dez,2018,pop
População carcerária,18731,ms,jun,2018,pop
População carcerária por 100.000 habitantes,681.6172935961598,ms,jun,2018,pop
População carcerária,17834,ms,dez,2019,pop
População carcerária por 100.000 habitantes,641.7448666528007,ms,dez,2019,pop
População carcerária,17384,ms,jun,2019,pop
População carcerária por 100.000 habitantes,625.551909941252,ms,jun,2019,pop
População carcerária,20284,ms,dez,2020,pop
População carcerária por 100.000 habitantes,722.0062404917218,ms,dez,2020,pop
População carcerária,19525,ms,jun,2020,pop
População carcerária por 100.000 habitantes,694.9897380004371,ms,jun,2020,pop
População carcerária,10138,mt,dez,2014,pop
População carcerária por 100.000 habitantes,313.5568005453377,mt,dez,2014,pop
População carcerária,10357,mt,jun,2014,pop
População carcerária por 100.000 habitantes,321.21132988685804,mt,jun,2014,pop
População carcerária,8945,mt,dez,2015,pop
População carcerária por 100.000 habitantes,273.92553512708366,mt,dez,2015,pop
População carcerária,11642,mt,dez,2016,pop
População carcerária por 100.000 habitantes,356.5,mt,dez,2016,pop
População carcerária,10362,mt,jun,2016,pop
População carcerária por 100.000 habitantes,313.47459757600217,mt,jun,2016,pop
População carcerária,12244,mt,dez,2017,pop
População carcerária por 100.000 habitantes,366.08877024790223,mt,dez,2017,pop
População carcerária,12292,mt,jun,2017,pop
População carcerária por 100.000 habitantes,367.52,mt,jun,2017,pop
População carcerária,12670,mt,dez,2018,pop
População carcerária por 100.000 habitantes,368.1001557816129,mt,dez,2018,pop
População carcerária,12668,mt,jun,2018,pop
População carcerária por 100.000 habitantes,368.0420499953806,mt,jun,2018,pop
População carcerária,12562,mt,dez,2019,pop
População carcerária por 100.000 habitantes,360.51435140994346,mt,dez,2019,pop
População carcerária,13088,mt,jun,2019,pop
População carcerária por 100.000 habitantes,375.6099212906655,mt,jun,2019,pop
População carcerária,16972,mt,dez,2020,pop
População carcerária por 100.000 habitantes,481.30859674098616,mt,dez,2020,pop
População carcerária,15892,mt,jun,2020,pop
População carcerária por 100.000 habitantes,450.68089909307986,mt,jun,2020,pop
População carcerária,12622,pa,dez,2014,pop
População carcerária por 100.000 habitantes,155.96051636250948,pa,dez,2014,pop
População carcerária,13268,pa,jun,2014,pop
População carcerária por 100.000 habitantes,164.3314948220964,pa,jun,2014,pop
População carcerária,12843,pa,dez,2015,pop
População carcerária por 100.000 habitantes,157.09874591335924,pa,dez,2015,pop
População carcerária,15253,pa,dez,2016,pop
População carcerária por 100.000 habitantes,186.6,pa,dez,2016,pop
População carcerária,14212,pa,jun,2016,pop
