level,value,uf,mes,ano,var
População carcerária por 100.000 habitantes,171.79347455566025,pa,jun,2016,pop
População carcerária,17426,pa,dez,2017,pop
População carcerária por 100.000 habitantes,208.27984703036876,pa,dez,2017,pop
População carcerária,16490,pa,jun,2017,pop
População carcerária por 100.000 habitantes,197.1,pa,jun,2017,pop
População carcerária,19524,pa,dez,2018,pop
População carcerária por 100.000 habitantes,229.3299686368598,pa,dez,2018,pop
População carcerária,18731,pa,jun,2018,pop
População carcerária por 100.000 habitantes,220.01534739484845,pa,jun,2018,pop
População carcerária,21279,pa,dez,2019,pop
População carcerária por 100.000 habitantes,247.34783121669352,pa,dez,2019,pop
População carcerária,19890,pa,jun,2019,pop
População carcerária por 100.000 habitantes,231.20204722496518,pa,jun,2019,pop
População carcerária,19825,pa,dez,2020,pop
População carcerária por 100.000 habitantes,228.11623169244984,pa,dez,2020,pop
População carcerária,20498,pa,jun,2020,pop
População carcerária por 100.000 habitantes,235.86010175192115,pa,jun,2020,pop
População carcerária,10450,pb,dez,2014,pop
População carcerária por 100.000 habitantes,264.68850215942757,pb,dez,2014,pop
População carcerária,9596,pb,jun,2014,pop
População carcerária por 100.000 habitantes,243.31338261637956,pb,jun,2014,pop
População carcerária,10532,pb,dez,2015,pop
População carcerária por 100.000 habitantes,265.142608558175,pb,dez,2015,pop
População carcerária,12244,pb,dez,2016,pop
População carcerária por 100.000 habitantes,308.2,pb,dez,2016,pop
População carcerária,11377,pb,jun,2016,pop
População carcerária por 100.000 habitantes,284.46660324072394,pb,jun,2016,pop
População carcerária,12216,pb,dez,2017,pop
População carcerária por 100.000 habitantes,303.4610357123162,pb,dez,2017,pop
População carcerária,12124,pb,jun,2017,pop
População carcerária por 100.000 habitantes,301.17,pb,jun,2017,pop
População carcerária,12924,pb,dez,2018,pop
População carcerária por 100.000 habitantes,323.38328375657073,pb,dez,2018,pop
População carcerária,12385,pb,jun,2018,pop
População carcerária por 100.000 habitantes,309.896469307113,pb,jun,2018,pop
População carcerária,13361,pb,dez,2019,pop
População carcerária por 100.000 habitantes,332.518111050248,pb,dez,2019,pop
População carcerária,13900,pb,jun,2019,pop
População carcerária por 100.000 habitantes,345.93232120338655,pb,jun,2019,pop
População carcerária,12148,pb,dez,2020,pop
População carcerária por 100.000 habitantes,300.74689108966777,pb,dez,2020,pop
População carcerária,12548,pb,jun,2020,pop
População carcerária por 100.000 habitantes,310.649653390941,pb,jun,2020,pop
População carcerária,26809,pe,dez,2014,pop
População carcerária por 100.000 habitantes,288.50591943464934,pe,dez,2014,pop
População carcerária,31510,pe,jun,2014,pop
População carcerária por 100.000 habitantes,339.6306013315546,pe,jun,2014,pop
População carcerária,31764,pe,dez,2015,pop
População carcerária por 100.000 habitantes,339.88176043857203,pe,dez,2015,pop
População carcerária,45878,pe,dez,2016,pop
População carcerária por 100.000 habitantes,490.9,pe,dez,2016,pop
População carcerária,34556,pe,jun,2016,pop
População carcerária por 100.000 habitantes,367.1962300223616,pe,jun,2016,pop
População carcerária,33085,pe,dez,2017,pop
População carcerária por 100.000 habitantes,349.24597282500036,pe,dez,2017,pop
População carcerária,31001,pe,jun,2017,pop
População carcerária por 100.000 habitantes,327.25,pe,jun,2017,pop
População carcerária,32188,pe,dez,2018,pop
População carcerária por 100.000 habitantes,338.9532800901067,pe,dez,2018,pop
População carcerária,31815,pe,jun,2018,pop
População carcerária por 100.000 habitantes,335.0254320264305,pe,jun,2018,pop
População carcerária,33706,pe,dez,2019,pop
População carcerária por 100.000 habitantes,352.68127651243776,pe,dez,2019,pop
População carcerária,33628,pe,jun,2019,pop
População carcerária por 100.000 habitantes,351.8651268783082,pe,jun,2019,pop
População carcerária,35727,pe,dez,2020,pop
População carcerária por 100.000 habitantes,371.5130293686317,pe,dez,2020,pop
População carcerária,33078,pe,jun,2020,pop
População carcerária por 100.000 habitantes,343.9669713509558,pe,jun,2020,pop
População carcerária,3182,pi,dez,2014,pop
População carcerária por 100.000 habitantes,99.5188877904211,pi,dez,2014,pop
População carcerária,3224,pi,jun,2014,pop
População carcerária por 100.000 habitantes,100.91657542230645,pi,jun,2014,pop
População carcerária,3720,pi,dez,2015,pop
População carcerária por 100.000 habitantes,116.13161833156326,pi,dez,2015,pop
População carcerária,4231,pi,dez,2016,pop
População carcerária por 100.000 habitantes,132.1,pi,dez,2016,pop
População carcerária,4032,pi,jun,2016,pop
População carcerária por 100.000 habitantes,125.5522883866313,pi,jun,2016,pop
População carcerária,4495,pi,dez,2017,pop
População carcerária por 100.000 habitantes,139.6284919159918,pi,dez,2017,pop
População carcerária,4368,pi,jun,2017,pop
População carcerária por 100.000 habitantes,135.68,pi,jun,2017,pop
População carcerária,4514,pi,dez,2018,pop
População carcerária por 100.000 habitantes,138.27407367245095,pi,dez,2018,pop
População carcerária,4016,pi,jun,2018,pop
População carcerária por 100.000 habitantes,123.01920245205207,pi,jun,2018,pop
População carcerária,4516,pi,dez,2019,pop
População carcerária por 100.000 habitantes,137.96782196896214,pi,dez,2019,pop
População carcerária,5125,pi,jun,2019,pop
População carcerária por 100.000 habitantes,156.57331434697318,pi,jun,2019,pop
População carcerária,5249,pi,dez,2020,pop
População carcerária por 100.000 habitantes,159.95831149359435,pi,dez,2020,pop
População carcerária,4658,pi,jun,2020,pop
População carcerária por 100.000 habitantes,141.9481453490498,pi,jun,2020,pop
População carcerária,28004,pr,dez,2014,pop
População carcerária por 100.000 habitantes,252.16538605958718,pr,dez,2014,pop
População carcerária,28702,pr,jun,2014,pop
População carcerária por 100.000 habitantes,259.0037694604759,pr,jun,2014,pop
População carcerária,52608,pr,dez,2015,pop
População carcerária por 100.000 habitantes,471.2704037564035,pr,dez,2015,pop
População carcerária,46394,pr,dez,2016,pop
População carcerária por 100.000 habitantes,416.5,pr,dez,2016,pop
População carcerária,51700,pr,jun,2016,pop
População carcerária por 100.000 habitantes,459.85313162651033,pr,jun,2016,pop
População carcerária,41688,pr,dez,2017,pop
População carcerária por 100.000 habitantes,368.23953448191185,pr,dez,2017,pop
População carcerária,49889,pr,jun,2017,pop
População carcerária por 100.000 habitantes,441.92,pr,jun,2017,pop
População carcerária,34521,pr,dez,2018,pop
População carcerária por 100.000 habitantes,304.1782679734675,pr,dez,2018,pop
População carcerária,33718,pr,jun,2018,pop
População carcerária por 100.000 habitantes,297.10271543493457,pr,jun,2018,pop
População carcerária,29767,pr,dez,2019,pop
População carcerária por 100.000 habitantes,260.33856870373046,pr,dez,2019,pop
População carcerária,30078,pr,jun,2019,pop
População carcerária por 100.000 habitantes,263.05853695269275,pr,jun,2019,pop
População carcerária,72826,pr,dez,2020,pop
População carcerária por 100.000 habitantes,632.3435942498115,pr,dez,2020,pop
População carcerária,61540,pr,jun,2020,pop
População carcerária por 100.000 habitantes,534.3479635038778,pr,jun,2020,pop
População carcerária,40301,rj,dez,2014,pop
População carcerária por 100.000 habitantes,244.39398073168044,rj,dez,2014,pop
População carcerária,39321,rj,jun,2014,pop
População carcerária por 100.000 habitantes,238.8711910141519,rj,jun,2014,pop
População carcerária,55552,rj,dez,2015,pop
População carcerária por 100.000 habitantes,335.6611446605757,rj,dez,2015,pop
População carcerária,51065,rj,dez,2016,pop
População carcerária por 100.000 habitantes,308.5,rj,dez,2016,pop
População carcerária,50219,rj,jun,2016,pop
População carcerária por 100.000 habitantes,301.8695123514096,rj,jun,2016,pop
População carcerária,51360,rj,dez,2017,pop
População carcerária por 100.000 habitantes,307.1962148832738,rj,dez,2017,pop
População carcerária,52691,rj,jun,2017,pop
População carcerária por 100.000 habitantes,315.16,rj,jun,2017,pop
População carcerária,53106,rj,dez,2018,pop
População carcerária por 100.000 habitantes,309.476245865375,rj,dez,2018,pop
População carcerária,51029,rj,dez,2019,pop
População carcerária por 100.000 habitantes,295.5642541072971,rj,dez,2019,pop
População carcerária,53771,rj,jun,2019,pop
População carcerária por 100.000 habitantes,311.4461484176345,rj,jun,2019,pop
População carcerária,61777,rj,dez,2020,pop
População carcerária por 100.000 habitantes,355.7314733819838,rj,dez,2020,pop
População carcerária,48910,rj,jun,2020,pop
População carcerária por 100.000 habitantes,281.639224357169,rj,jun,2020,pop
População carcerária,7658,rn,dez,2014,pop
População carcerária por 100.000 habitantes,224.12698617103132,rn,dez,2014,pop
População carcerária,7081,rn,jun,2014,pop
População carcerária por 100.000 habitantes,207.74473303584264,rn,jun,2014,pop
População carcerária,7760,rn,dez,2015,pop
População carcerária por 100.000 habitantes,225.43885769898392,rn,dez,2015,pop
População carcerária,6493,rn,dez,2016,pop
População carcerária por 100.000 habitantes,192.8,rn,dez,2016,pop
População carcerária,8809,rn,jun,2016,pop
População carcerária por 100.000 habitantes,253.4965487749921,rn,jun,2016,pop
População carcerária,6617,rn,dez,2017,pop
População carcerária por 100.000 habitantes,188.6796218879767,rn,dez,2017,pop
População carcerária,9117,rn,jun,2017,pop
População carcerária por 100.000 habitantes,263.82,rn,jun,2017,pop
População carcerária,8875,rn,dez,2018,pop
População carcerária por 100.000 habitantes,255.10130755588514,rn,dez,2018,pop
População carcerária,8714,rn,jun,2018,pop
População carcerária por 100.000 habitantes,250.47355425825162,rn,jun,2018,pop
População carcerária,10180,rn,dez,2019,pop
População carcerária por 100.000 habitantes,290.28875747001655,rn,dez,2019,pop
População carcerária,9969,rn,jun,2019,pop
População carcerária por 100.000 habitantes,284.27196691734724,rn,jun,2019,pop
População carcerária,10895,rn,dez,2020,pop
População carcerária por 100.000 habitantes,308.2764952966259,rn,dez,2020,pop
População carcerária,10819,rn,jun,2020,pop
População carcerária por 100.000 habitantes,306.1260580646348,rn,jun,2020,pop
População carcerária,17987,ro,dez,2014,pop
População carcerária por 100.000 habitantes,1025.8314241930138,ro,dez,2014,pop
População carcerária,7631,ro,jun,2014,pop
População carcerária por 100.000 habitantes,436.4234892032226,ro,jun,2014,pop
População carcerária,10314,ro,dez,2015,pop
População carcerária por 100.000 habitantes,583.3037364466996,ro,dez,2015,pop
População carcerária,11881,ro,dez,2016,pop
População carcerária por 100.000 habitantes,679.7,ro,dez,2016,pop
População carcerária,10832,ro,jun,2016,pop
População carcerária por 100.000 habitantes,606.0609451574153,ro,jun,2016,pop
População carcerária,11740,ro,dez,2017,pop
População carcerária por 100.000 habitantes,650.1316876621175,ro,dez,2017,pop
População carcerária,11223,ro,jun,2017,pop
População carcerária por 100.000 habitantes,630.36,ro,jun,2017,pop
População carcerária,12025,ro,dez,2018,pop
População carcerária por 100.000 habitantes,684.1758795713902,ro,dez,2018,pop
População carcerária,13419,ro,dez,2019,pop
População carcerária por 100.000 habitantes,755.0535244552603,ro,dez,2019,pop
População carcerária,12908,ro,jun,2019,pop
População carcerária por 100.000 habitantes,726.3008341656234,ro,jun,2019,pop
População carcerária,12549,ro,dez,2020,pop
População carcerária por 100.000 habitantes,698.5404629103904,ro,dez,2020,pop
População carcerária,13205,ro,jun,2020,pop
População carcerária por 100.000 habitantes,735.056722665687,ro,jun,2020,pop
População carcerária,1609,rr,dez,2014,pop
População carcerária por 100.000 habitantes,321.7144239632258,rr,dez,2014,pop
População carcerária,1610,rr,jun,2014,pop
População carcerária por 100.000 habitantes,323.98538242349116,rr,jun,2014,pop
População carcerária,2232,rr,dez,2015,pop
População carcerária por 100.000 habitantes,441.3989498976595,rr,dez,2015,pop
População carcerária,2514,rr,dez,2016,pop
População carcerária por 100.000 habitantes,315.6,rr,dez,2016,pop
População carcerária,2339,rr,jun,2016,pop
População carcerária por 100.000 habitantes,454.8557160331292,rr,jun,2016,pop
População carcerária,2721,rr,dez,2017,pop
População carcerária por 100.000 habitantes,520.6300369664547,rr,dez,2017,pop
População carcerária,2590,rr,jun,2017,pop
População carcerária por 100.000 habitantes,495.56,rr,jun,2017,pop
População carcerária,2908,rr,jun,2018,pop
População carcerária por 100.000 habitantes,504.3637524108171,rr,jun,2018,pop
População carcerária,3711,rr,dez,2019,pop
População carcerária por 100.000 habitantes,612.6178476329774,rr,dez,2019,pop
População carcerária,3384,rr,jun,2019,pop
População carcerária por 100.000 habitantes,558.6361617865792,rr,jun,2019,pop
População carcerária,4140,rr,dez,2020,pop
População carcerária por 100.000 habitantes,655.9132800258564,rr,dez,2020,pop
População carcerária,3840,rr,jun,2020,pop
População carcerária por 100.000 habitantes,608.3833321978957,rr,jun,2020,pop
População carcerária,28125,rs,dez,2014,pop
População carcerária por 100.000 habitantes,250.5617706258218,rs,dez,2014,pop
População carcerária,28059,rs,jun,2014,pop
População carcerária por 100.000 habitantes,250.36418311892794,rs,jun,2014,pop
População carcerária,30714,rs,dez,2015,pop
População carcerária por 100.000 habitantes,273.0625574103492,rs,dez,2015,pop
População carcerária,35498,rs,dez,2016,pop
População carcerária por 100.000 habitantes,229.87,rs,dez,2016,pop
População carcerária,33868,rs,jun,2016,pop
População carcerária por 100.000 habitantes,300.07531121251054,rs,jun,2016,pop
População carcerária,37506,rs,dez,2017,pop
População carcerária por 100.000 habitantes,331.24037624653414,rs,dez,2017,pop
População carcerária,36174,rs,jun,2017,pop
População carcerária por 100.000 habitantes,319.48,rs,jun,2017,pop
População carcerária,38949,rs,dez,2018,pop
População carcerária por 100.000 habitantes,343.7807408113522,rs,dez,2018,pop
População carcerária,37181,rs,jun,2018,pop
População carcerária por 100.000 habitantes,328.17560718136247,rs,jun,2018,pop
População carcerária,41272,rs,dez,2019,pop
População carcerária por 100.000 habitantes,362.7593654312791,rs,dez,2019,pop
População carcerária,40887,rs,jun,2019,pop
População carcerária por 100.000 habitantes,359.3754161268828,rs,jun,2019,pop
População carcerária,41148,rs,dez,2020,pop
População carcerária por 100.000 habitantes,359.402490041203,rs,dez,2020,pop
População carcerária,38901,rs,jun,2020,pop
População carcerária por 100.000 habitantes,340.5505729550442,rs,jun,2020,pop
População carcerária,16828,sc,dez,2014,pop
População carcerária por 100.000 habitantes,249.4146655171182,sc,dez,2014,pop
População carcerária,17914,sc,jun,2014,pop
População carcerária por 100.000 habitantes,266.29412642623595,sc,jun,2014,pop
População carcerária,18471,sc,dez,2015,pop
População carcerária por 100.000 habitantes,270.86794765947275,sc,dez,2015,pop
População carcerária,20545,sc,dez,2016,pop
População carcerária por 100.000 habitantes,301.3,sc,dez,2016,pop
População carcerária,21472,sc,jun,2016,pop
População carcerária por 100.000 habitantes,310.7131947327515,sc,jun,2016,pop
População carcerária,21945,sc,dez,2017,pop
População carcerária por 100.000 habitantes,313.4480124082277,sc,dez,2017,pop
População carcerária,21558,sc,jun,2017,pop
População carcerária por 100.000 habitantes,307.92,sc,jun,2017,pop
População carcerária,24271,sc,dez,2018,pop
População carcerária por 100.000 habitantes,343.0290521057611,sc,dez,2018,pop
População carcerária,23731,sc,jun,2018,pop
População carcerária por 100.000 habitantes,335.3970761617493,sc,jun,2018,pop
População carcerária,23483,sc,dez,2019,pop
População carcerária por 100.000 habitantes,327.75568516472504,sc,dez,2019,pop
População carcerária,25203,sc,jun,2019,pop
População carcerária por 100.000 habitantes,351.7619781632059,sc,jun,2019,pop
População carcerária,24860,sc,dez,2020,pop
População carcerária por 100.000 habitantes,342.7782577653891,sc,dez,2020,pop
População carcerária,23486,sc,jun,2020,pop
População carcerária por 100.000 habitantes,323.8330716765056,sc,jun,2020,pop
População carcerária,4653,se,dez,2014,pop
População carcerária por 100.000 habitantes,209.08666469248354,se,dez,2014,pop
População carcerária,4307,se,jun,2014,pop
População carcerária por 100.000 habitantes,194.0462449100593,se,jun,2014,pop
População carcerária,5194,se,dez,2015,pop
População carcerária por 100.000 habitantes,231.57137271354478,se,dez,2015,pop
População carcerária,4984,se,dez,2016,pop
População carcerária por 100.000 habitantes,222.2,se,dez,2016,pop
População carcerária,5316,se,jun,2016,pop
População carcerária por 100.000 habitantes,234.62129360365685,se,jun,2016,pop
População carcerária,5282,se,dez,2017,pop
População carcerária por 100.000 habitantes,230.84493967963164,se,dez,2017,pop
População carcerária,4888,se,jun,2017,pop
População carcerária por 100.000 habitantes,213.63,se,jun,2017,pop
População carcerária,5510,se,dez,2018,pop
População carcerária por 100.000 habitantes,241.84614196149073,se,dez,2018,pop
População carcerária,5603,se,jun,2018,pop
População carcerária por 100.000 habitantes,245.9281185862491,se,jun,2018,pop
População carcerária,6360,se,dez,2019,pop
População carcerária por 100.000 habitantes,276.67860386932415,se,dez,2019,pop
População carcerária,5688,se,jun,2019,pop
População carcerária por 100.000 habitantes,247.44463817747106,se,jun,2019,pop
População carcerária,6486,se,dez,2020,pop
População carcerária por 100.000 habitantes,279.71099118431687,se,dez,2020,pop
População carcerária,5693,se,jun,2020,pop
População carcerária por 100.000 habitantes,245.51259216964476,se,jun,2020,pop
População carcerária,220030,sp,dez,2014,pop
População carcerária por 100.000 habitantes,498.48117636029764,sp,dez,2014,pop
População carcerária,219053,sp,jun,2014,pop
População carcerária por 100.000 habitantes,497.44859261105586,sp,jun,2014,pop
População carcerária,233067,sp,dez,2015,pop
População carcerária por 100.000 habitantes,524.9672474063486,sp,dez,2015,pop
População carcerária,232720,sp,dez,2016,pop
População carcerária por 100.000 habitantes,524.2,sp,dez,2016,pop
População carcerária,240061,sp,jun,2016,pop
População carcerária por 100.000 habitantes,536.4527703303658,sp,jun,2016,pop
População carcerária,227701,sp,dez,2017,pop
População carcerária por 100.000 habitantes,504.93774612835085,sp,dez,2017,pop
População carcerária,229031,sp,jun,2017,pop
População carcerária por 100.000 habitantes,507.88,sp,jun,2017,pop
População carcerária,231809,sp,dez,2018,pop
População carcerária por 100.000 habitantes,509.03473019220297,sp,dez,2018,pop
População carcerária,229826,sp,jun,2018,pop
População carcerária por 100.000 habitantes,504.6802147507355,sp,jun,2018,pop
População carcerária,233089,sp,dez,2019,pop
População carcerária por 100.000 habitantes,507.6085090525285,sp,dez,2019,pop
População carcerária,236534,sp,jun,2019,pop
População carcerária por 100.000 habitantes,515.1108421256721,sp,jun,2019,pop
População carcerária,213795,sp,dez,2020,pop
População carcerária por 100.000 habitantes,461.8666680723181,sp,dez,2020,pop
População carcerária,220120,sp,jun,2020,pop
População carcerária por 100.000 habitantes,475.5307232445972,sp,jun,2020,pop
População carcerária,5772,to,dez,2014,pop
População carcerária por 100.000 habitantes,384.4714051057696,to,dez,2014,pop
População carcerária,3233,to,jun,2014,pop
População carcerária por 100.000 habitantes,215.98257709368823,to,jun,2014,pop
População carcerária,3283,to,dez,2015,pop
População carcerária por 100.000 habitantes,216.6816489189678,to,dez,2015,pop
População carcerária,3455,to,dez,2016,pop
População carcerária por 100.000 habitantes,228,to,dez,2016,pop
População carcerária,3468,to,jun,2016,pop
População carcerária por 100.000 habitantes,226.2375546512432,to,jun,2016,pop
População carcerária,4050,to,dez,2017,pop
População carcerária por 100.000 habitantes,261.25762323941393,to,dez,2017,pop
População carcerária,3573,to,jun,2017,pop
População carcerária por 100.000 habitantes,230.49,to,jun,2017,pop
População carcerária,4347,to,dez,2018,pop
População carcerária por 100.000 habitantes,279.50867685723455,to,dez,2018,pop
População carcerária,4239,to,jun,2018,pop
População carcerária por 100.000 habitantes,272.5643619042598,to,jun,2018,pop
População carcerária,4491,to,dez,2019,pop
População carcerária por 100.000 habitantes,285.529727262208,to,dez,2019,pop
População carcerária,4592,to,jun,2019,pop
População carcerária por 100.000 habitantes,291.9511261607791,to,jun,2019,pop
População carcerária,4126,to,dez,2020,pop
População carcerária por 100.000 habitantes,259.4563866767951,to,dez,2020,pop
População carcerária,4308,to,jun,2020,pop
População carcerária por 100.000 habitantes,270.9011424633139,to,jun,2020,pop
